Goals,Team,Probability
0,Spain,0.13656860029316317
1,Spain,0.27189828088376405
2,Spain,0.27066498078199624
3,Spain,0.1796248498607627
4,Spain,0.08940504584564925
5,Spain,0.03559980583469901
0,Argentina,0.19075598719994416
1,Argentina,0.3160369316306741
2,Argentina,0.26179870844588776
3,Argentina,0.14457922874243956
4,Argentina,0.059883278763613206
5,Argentina,0.01984244683926982
