Casino_Line,Prob_Under,Prob_Over
6,5.364372222099409,94.6356277779006
7,10.27492637776797,89.72507362223203
8,17.465380677139798,82.53461932286021
9,26.824384685846002,73.175615314154
10,37.78778938175899,62.212210618241
